2022-03-14 19:06:51 install gnupg:all <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gnupg:all 2.2.27-2
2022-03-14 19:06:51 status unpacked gnupg:all 2.2.27-2
2022-03-14 19:06:51 install libicu67:amd64 <none> 67.1-7
2022-03-14 19:06:51 status half-installed libicu67:amd64 67.1-7
2022-03-14 19:06:52 status unpacked libicu67:amd64 67.1-7
2022-03-14 19:06:52 install icu-devtools:amd64 <none> 67.1-7
2022-03-14 19:06:52 status half-installed icu-devtools:amd64 67.1-7
2022-03-14 19:06:52 status unpacked icu-devtools:amd64 67.1-7
2022-03-14 19:06:52 install libc-dev-bin:amd64 <none> 2.31-13+deb11u2
2022-03-14 19:06:52 status half-installed libc-dev-bin:amd64 2.31-13+deb11u2
2022-03-14 19:06:52 status unpacked libc-dev-bin:amd64 2.31-13+deb11u2
2022-03-14 19:06:52 install linux-libc-dev:amd64 <none> 5.10.103-1
2022-03-14 19:06:52 status half-installed linux-libc-dev:amd64 5.10.103-1
2022-03-14 19:06:52 status unpacked linux-libc-dev:amd64 5.10.103-1
2022-03-14 19:06:52 install libcrypt-dev:amd64 <none> 1:4.4.18-4
2022-03-14 19:06:52 status half-installed libcrypt-dev:amd64 1:4.4.18-4
2022-03-14 19:06:52 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2022-03-14 19:06:52 install libtirpc-dev:amd64 <none> 1.3.1-1
2022-03-14 19:06:52 status half-installed libtirpc-dev:amd64 1.3.1-1
2022-03-14 19:06:52 status unpacked libtirpc-dev:amd64 1.3.1-1
2022-03-14 19:06:52 install libnsl-dev:amd64 <none> 1.3.0-2
2022-03-14 19:06:52 status half-installed libnsl-dev:amd64 1.3.0-2
2022-03-14 19:06:52 status unpacked libnsl-dev:amd64 1.3.0-2
2022-03-14 19:06:52 install libc6-dev:amd64 <none> 2.31-13+deb11u2
2022-03-14 19:06:52 status half-installed libc6-dev:amd64 2.31-13+deb11u2
2022-03-14 19:06:52 status unpacked libc6-dev:amd64 2.31-13+deb11u2
2022-03-14 19:06:52 install uuid-dev:amd64 <none> 2.36.1-8+deb11u1
2022-03-14 19:06:52 status half-installed uuid-dev:amd64 2.36.1-8+deb11u1
2022-03-14 19:06:52 status unpacked uuid-dev:amd64 2.36.1-8+deb11u1
2022-03-14 19:06:52 install libsctp1:amd64 <none> 1.0.18+dfsg-1
2022-03-14 19:06:52 status half-installed libsctp1:amd64 1.0.18+dfsg-1
2022-03-14 19:06:52 status unpacked libsctp1:amd64 1.0.18+dfsg-1
2022-03-14 19:06:52 install libsctp-dev:amd64 <none> 1.0.18+dfsg-1
2022-03-14 19:06:52 status half-installed libsctp-dev:amd64 1.0.18+dfsg-1
2022-03-14 19:06:53 status unpacked libsctp-dev:amd64 1.0.18+dfsg-1
2022-03-14 19:06:53 install libapr1-dev:amd64 <none> 1.7.0-6+deb11u1
2022-03-14 19:06:53 status half-installed libapr1-dev:amd64 1.7.0-6+deb11u1
2022-03-14 19:06:53 status unpacked libapr1-dev:amd64 1.7.0-6+deb11u1
2022-03-14 19:06:53 install libldap2-dev:amd64 <none> 2.4.57+dfsg-3
2022-03-14 19:06:53 status half-installed libldap2-dev:amd64 2.4.57+dfsg-3
2022-03-14 19:06:53 status unpacked libldap2-dev:amd64 2.4.57+dfsg-3
2022-03-14 19:06:53 install libexpat1-dev:amd64 <none> 2.2.10-2+deb11u3
2022-03-14 19:06:53 status half-installed libexpat1-dev:amd64 2.2.10-2+deb11u3
2022-03-14 19:06:53 status unpacked libexpat1-dev:amd64 2.2.10-2+deb11u3
2022-03-14 19:06:53 install libaprutil1-dev:amd64 <none> 1.6.1-5
2022-03-14 19:06:53 status half-installed libaprutil1-dev:amd64 1.6.1-5
2022-03-14 19:06:53 status unpacked libaprutil1-dev:amd64 1.6.1-5
2022-03-14 19:06:53 install libbrotli1:amd64 <none> 1.0.9-2+b2
2022-03-14 19:06:53 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-03-14 19:06:53 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-03-14 19:06:53 install libbrotli-dev:amd64 <none> 1.0.9-2+b2
2022-03-14 19:06:53 status half-installed libbrotli-dev:amd64 1.0.9-2+b2
2022-03-14 19:06:53 status unpacked libbrotli-dev:amd64 1.0.9-2+b2
2022-03-14 19:06:53 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-03-14 19:06:53 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-03-14 19:06:53 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-03-14 19:06:53 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-03-14 19:06:53 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-14 19:06:53 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-14 19:06:53 install libssh2-1:amd64 <none> 1.9.0-2
2022-03-14 19:06:53 status half-installed libssh2-1:amd64 1.9.0-2
2022-03-14 19:06:53 status unpacked libssh2-1:amd64 1.9.0-2
2022-03-14 19:06:53 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-14 19:06:53 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-14 19:06:53 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-14 19:06:53 install libcurl4-openssl-dev:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-14 19:06:53 status half-installed libcurl4-openssl-dev:amd64 7.74.0-1.3+deb11u1
2022-03-14 19:06:53 status unpacked libcurl4-openssl-dev:amd64 7.74.0-1.3+deb11u1
2022-03-14 19:06:53 install libglib2.0-0:amd64 <none> 2.66.8-1
2022-03-14 19:06:53 status half-installed libglib2.0-0:amd64 2.66.8-1
2022-03-14 19:06:53 status unpacked libglib2.0-0:amd64 2.66.8-1
2022-03-14 19:06:53 install libicu-dev:amd64 <none> 67.1-7
2022-03-14 19:06:53 status half-installed libicu-dev:amd64 67.1-7
2022-03-14 19:06:54 status unpacked libicu-dev:amd64 67.1-7
2022-03-14 19:06:54 install libjansson4:amd64 <none> 2.13.1-1.1
2022-03-14 19:06:54 status half-installed libjansson4:amd64 2.13.1-1.1
2022-03-14 19:06:54 status unpacked libjansson4:amd64 2.13.1-1.1
